tanggal,value,temp_mini_tank,temp_nozzle,temp_nozzle_filler
2023-01-02 01:00:00,115,-180.0,24.0,-172.0
2023-01-02 02:00:00,116,-180.0,24.0,-183.0
2023-01-02 03:00:00,112,-179.0,24.0,-171.0
2023-01-02 04:00:00,111,-179.0,24.0,-186.0
2023-01-02 06:00:00,114,-175.0,24.0,-159.0
2023-01-02 07:00:00,108,-176.0,24.0,-176.0
2023-01-02 08:00:00,114,-176.0,24.0,-175.0
2023-01-02 11:00:00,113,-176.0,24.0,-167.0
2023-01-02 00:00:00,114,-180.0,24.0,-177.0
2023-01-03 02:00:00,116,-177.0,24.0,-187.0
2023-01-03 11:00:00,111,-177.0,23.0,-172.0
2023-01-04 01:00:00,111,-178.0,23.0,-190.0
2023-01-04 03:00:00,115,-177.0,23.0,-187.0
2023-01-04 04:00:00,106,-177.0,23.0,-179.0
2023-01-04 05:00:00,111,-177.0,23.0,-183.0
2023-01-04 06:00:00,112,-177.0,23.0,-187.0
2023-01-04 07:00:00,111,-177.0,23.0,-170.0
2023-01-04 08:00:00,111,-177.0,23.0,-190.0
2023-01-04 09:00:00,111,-178.0,23.0,-190.0
2023-01-04 10:00:00,108,-177.0,23.0,-171.0
2023-01-04 11:00:00,105,-177.0,23.0,-175.0
2023-01-05 01:00:00,113,-177.0,23.0,-168.0
2023-01-05 02:00:00,106,-177.0,23.0,-190.0
2023-01-05 03:00:00,111,-178.0,23.0,-177.0
2023-01-05 04:00:00,115,-178.0,23.0,-189.0
2023-01-05 05:00:00,112,-178.0,23.0,-173.0
2023-01-05 06:00:00,114,-177.0,23.0,-191.0
2023-01-05 07:00:00,106,-178.0,23.0,-184.0
2023-01-05 08:00:00,108,-178.0,23.0,-187.0
2023-01-05 09:00:00,109,-177.0,23.0,-189.0
2023-01-05 11:00:00,108,-178.0,23.0,-177.0
2023-01-05 00:00:00,109,-177.0,23.0,-173.0
2023-01-06 01:00:00,114,-178.0,23.0,-190.0
2023-01-06 02:00:00,112,-177.0,23.0,-167.0
2023-01-06 03:00:00,116,-178.0,23.0,-183.0
2023-01-06 04:00:00,109,-177.0,23.0,-171.0
2023-01-06 05:00:00,115,-178.0,23.0,-176.0
2023-01-06 06:00:00,113,-178.0,24.0,-175.0
2023-01-06 07:00:00,116,-178.0,24.0,-181.0
2023-01-06 08:00:00,111,-179.0,23.0,-191.0
2023-01-06 09:00:00,111,-178.0,23.0,-168.0
2023-01-06 11:00:00,113,-179.0,23.0,-187.0
2023-01-06 00:00:00,117,-177.0,23.0,-184.0
2023-01-07 01:00:00,112,-179.0,23.0,-183.0
2023-01-07 02:00:00,113,-179.0,23.0,-190.0
2023-01-07 03:00:00,111,-178.0,23.0,-188.0
2023-01-07 04:00:00,110,-179.0,23.0,-191.0
2023-01-07 05:00:00,112,-179.0,23.0,-185.0
2023-01-07 06:00:00,112,-178.0,23.0,-188.0
2023-01-07 07:00:00,115,-179.0,23.0,-190.0
2023-01-07 08:00:00,115,-179.0,23.0,-191.0
2023-01-07 09:00:00,112,-179.0,23.0,-182.0
2023-01-07 10:00:00,110,-178.0,23.0,-191.0
2023-01-07 11:00:00,109,-178.0,23.0,-180.0
2023-01-07 00:00:00,111,-178.0,23.0,-190.0
2023-01-08 01:00:00,110,-179.0,23.0,-177.0
2023-01-08 02:00:00,113,-179.0,23.0,-175.0
2023-01-08 03:00:00,114,-179.0,23.0,-191.0
2023-01-08 04:00:00,116,-179.0,23.0,-174.0
2023-01-08 05:00:00,114,-179.0,23.0,-176.0
2023-01-13 11:00:00,111,-177.0,24.0,-177.0
2023-01-14 01:00:00,112,-177.0,24.0,-181.0
2023-01-14 02:00:00,114,-178.0,24.0,-185.0
2023-01-14 03:00:00,113,-178.0,24.0,-185.0
2023-01-14 04:00:00,116,-178.0,24.0,-174.0
2023-01-14 05:00:00,111,-178.0,24.0,-178.0
2023-01-14 06:00:00,115,-178.0,24.0,-164.0
2023-01-14 07:00:00,115,-178.0,24.0,-174.0
2023-01-14 08:00:00,112,-178.0,24.0,-173.0
2023-01-14 10:00:00,113,-177.0,24.0,-186.0
2023-01-14 11:00:00,108,-178.0,23.0,-178.0
2023-01-14 00:00:00,113,-178.0,24.0,-190.0
2023-01-15 01:00:00,114,-179.0,23.0,-171.0
2023-01-15 02:00:00,111,-179.0,23.0,-179.0
2023-01-15 03:00:00,114,-178.0,24.0,-182.0
2023-01-15 04:00:00,115,-178.0,24.0,-190.0
2023-01-15 05:00:00,111,-177.0,24.0,-172.0
2023-01-15 07:00:00,108,-178.0,24.0,-179.0
2023-01-15 08:00:00,116,-178.0,23.0,-191.0
2023-01-15 11:00:00,113,-177.0,25.0,-181.0
2023-01-15 00:00:00,110,-178.0,23.0,-177.0
2023-01-18 02:00:00,101,-170.0,27.0,-188.0
2023-01-20 01:00:00,114,-175.0,24.0,-171.0
2023-01-20 02:00:00,114,-175.0,24.0,-169.0
2023-01-20 03:00:00,115,-175.0,24.0,-163.0
2023-01-20 04:00:00,117,-174.0,24.0,-168.0
2023-01-20 05:00:00,111,-176.0,24.0,-188.0
2023-01-20 07:00:00,112,-176.0,24.0,-187.0
2023-01-20 08:00:00,111,-174.0,24.0,-171.0
